,OMOP: Solanezumab,Published: Sola,OMOP: Placebo,Published: Placebo
N,578,564,591,583
Age — yr,71.7±4.6,72.0±4.7,71.7±5.0,71.9±5.0
Female — no. (%),337 (58.3),329 (58.3),357 (60.4),352 (60.4)
Education — yr,16.6±2.7,16.6±2.7,16.5±2.9,16.6±2.9
White,545 (94.3),531 (94.1),555 (93.9),549 (94.2)
Black,12 (2.1),12 (2.1),16 (2.7),15 (2.6)
Asian,11 (1.9),11 (2.0),13 (2.2),13 (2.2)
Other or missing,10 (1.7),10 (1.8),7 (1.2),6 (1.0)
Not Hispanic or Latino,556 (96.2),542 (96.1),568 (96.1),560 (96.1)
Hispanic or Latino,16 (2.8),16 (2.8),18 (3.0),18 (3.1)
Ethnicity unknown,6 (1.0),6 (1.1),5 (0.8),5 (0.9)
Family history of dementia,422 (73.0),411 (72.9),456 (77.2),449 (77.0)
ApoE e2/e2,2 (0.3),1 (0.2),0 (0.0),0
ApoE e2/e3,28 (4.8),28 (5.0),33 (5.6),33 (5.7)
ApoE e2/e4,13 (2.2),13 (2.3),22 (3.7),22 (3.8)
ApoE e3/e3,206 (35.6),202 (35.8),211 (35.7),208 (35.7)
ApoE e3/e4,282 (48.8),273 (48.4),278 (47.0),273 (46.8)
ApoE e4/e4,47 (8.1),47 (8.3),47 (8.0),47 (8.1)
ApoE e4 carrier,342 (59.2),333 (59.0),347 (58.7),342 (58.7)
Amyloid SUVR,1.3±0.2,1.3±0.2,1.3±0.2,1.3±0.2
Centiloids,66.1±33.5,66.2±33.5,66.0±32.1,65.9±32.1
PACC score,-0.0±2.8,0.0±2.8,0.0±2.6,0.0±2.6
LMDR score,12.6±3.8,12.6±3.8,12.7±3.5,12.7±3.5
MMSE score,28.8±1.3,28.8±1.3,28.8±1.2,28.8±1.2
CFI combined score,4.1±3.7,4.0±3.6,3.6±3.3,3.6±3.3
ADL partner score,43.3±2.7,43.4±2.7,43.5±2.6,43.5±2.6
CDR-SB score,0.1±0.2,0.1±0.2,0.0±0.2,0.0±0.2
