source_code,concept_id,concept_name,notes
HMT1,3000963,Hemoglobin,LOINC 718-7
HMT2,3009542,Hematocrit,LOINC 4544-3
HMT3,3020416,RBC,LOINC 789-8
HMT4,3023599,MCV [Entitic volume] by Automated count,LOINC 787-2
HMT7,3010813,WBC,LOINC 6690-2
HMT13,3024929,Platelets,LOINC 777-3
HMT40,3000963,Hemoglobin,LOINC 718-7 (duplicate code)
HMT102,3009744,MCHC,LOINC 786-4
HMT8,3017732,Neutrophils,LOINC 751-8
HMT9,3004327,Lymphocytes,LOINC 731-0
HMT10,3001604,Monocytes,LOINC 742-7
HMT11,3013115,Eosinophils,LOINC 711-2
HMT12,3006315,Basophils,LOINC 704-7
HMT20,3004809,Band neutrophils,LOINC 764-1
HMT71,40761509,RBC Morphology,LOINC 58408-6
HMT71_1,40761509,RBC Morphology,repeat 1
HMT71_2,40761509,RBC Morphology,repeat 2
HMT71_3,40761509,RBC Morphology,repeat 3
HMT71_4,40761509,RBC Morphology,repeat 4
HMT71_5,40761509,RBC Morphology,repeat 5
HMT95,3013498,Atypical/Variant lymphocytes,LOINC 733-6
HMT98,3034708,Nucleated erythrocytes/100 leukocytes [Ratio] in Blood,LOINC 19048-8 (RPTU is '%' so ratio form)
HMT370,3004410,Hemoglobin A1c,LOINC 4548-4
RCT1,3006140,Bilirubin.total [Moles/volume] in Serum or Plasma,LOINC 14631-6. Source reports umol/L
RCT3,3004077,GGT,LOINC 2324-2
RCT5,3013721,AST,LOINC 1920-8
RCT6,3024641,Urea nitrogen [Moles/volume] in Serum or Plasma,LOINC 14937-7. Source reports mmol/L
RCT14,3007220,Creatine kinase [Enzymatic activity/volume] in Serum or Plasma,LOINC 2157-6
RCT183,3015377,Calcium [Moles/volume] in Serum or Plasma,LOINC 2000-8. Source reports mmol/L
RCT392,3020564,Creatinine [Moles/volume] in Serum or Plasma,"LOINC 14682-9. Source reports umol/L,  a molar concentration"
RCT4,3006923,ALT/SGPT,LOINC 1742-6
RCT8,3026493,Urate [Moles/volume] in Serum or Plasma,LOINC 14933-6. Source reports umol/L; source LBTEST is Serum Uric Acid
