source_code,concept_id,concept_name,group,unit,unit_concept_id,notes
SMOKE,35810373,Number of cigarettes currently smoked daily (current cigarette smokers),lifestyle,cigarettes/day,0,"UK Biobank standard (reviewer-suggested). CRF asks packs/day; ETL converts x20 (dictionary: 20 cigarettes/pack); original packs value kept in observation_source_value"
ALCOHOL,44786671,Alcoholic drinks per day,lifestyle,drinks/day,0,LOINC. CRF asks drinks per day; no UCUM count-per-day concept exists
CAFFEINE,40767275,Caffeinated beverages per day,lifestyle,cups/day,0,LOINC/PhenX. CRF asks cups per day; no UCUM count-per-day concept exists
AEROBIC,4312325,Active physical exercise,lifestyle,hours/week,0,SNOMED standard. CRF asks hours per week; no UCUM hour-per-week concept exists
WALKING,903630,Time spent walking (minutes per day),lifestyle,minute,8550,PPI standard (ipaq_6_cope_a_85; reviewer-assigned). CRF asks minutes of walking per day. Replaces custom 2100000300 which collided with C-PATH Q11
SLEEP,40768255,Sleep duration,lifestyle,hour,8505,LOINC standard. CRF asks hours slept at night
SLEEPDAY,40768262,Daytime nap duration,lifestyle,minute,8550,LOINC. CRF asks minutes napped during the day
SUBUSE,37162238,Substance use behavior,lifestyle,,,"SNOMED. Yes/No response,  no unit"
FAMHX_MOTHER,2100000210,Family history - Mother,family_history,,,Custom concept; generic SNOMED 4167217 was too broad
FAMHX_FATHER,2100000211,Family history - Father,family_history,,,Custom concept; generic SNOMED 4167217 was too broad
FAMHX_SIBLING,2100000212,Family history - Sibling,family_history,,,Custom concept; generic SNOMED 4167217 was too broad
RELATIONSHIP,2100000080,Study Partner Relationship,study_partner,,,
CONTACT_HRS,2100000081,Study Partner Contact Hours,measurement,,,Moved to measurement (numeric hours/week)
COHABITATION,2100000082,Study Partner Cohabitation,study_partner,,,
