concept_id,source_code,concept_name,domain_id,vocabulary_id,concept_class_id,standard_concept,concept_code,valid_start_date,valid_end_date,invalid_reason,record_count,category,notes
2000000010,RANDOMIZED,Study randomization,Observation,A4_LEARN,Clinical Observation,S,A4_DS_RANDOMIZED,2020-01-01,2099-12-31,,1169,Milestones,Randomization event
2000000011,COMPLETED,Study completion,Observation,A4_LEARN,Clinical Observation,S,A4_DS_COMPLETED,2020-01-01,2099-12-31,,2001,Milestones,Study completion event
2000000012,SCREEN FAILURE,Screen failure,Observation,A4_LEARN,Clinical Observation,S,A4_DS_SCREEN_FAIL,2020-01-01,2099-12-31,,5274,Milestones,Screen failure event
2000000013,WITHDRAWAL BY SUBJECT,Withdrawal by subject,Observation,A4_LEARN,Clinical Observation,S,A4_DS_WITHDRAWAL,2020-01-01,2099-12-31,,335,Milestones,Voluntary withdrawal by subject
2000000014,STUDY TERMINATED BY SPONSOR,Study termination by sponsor,Observation,A4_LEARN,Clinical Observation,S,A4_DS_SPONSOR_TERM,2020-01-01,2099-12-31,,260,Milestones,Sponsor-initiated study termination
2000000015,ADVERSE EVENT,Discontinuation due to adverse event,Observation,A4_LEARN,Clinical Observation,S,A4_DS_AE,2020-01-01,2099-12-31,,68,Milestones,Discontinuation due to adverse event
2000000016,LOST TO FOLLOW UP,Lost to follow-up,Observation,A4_LEARN,Clinical Observation,S,A4_DS_LTFU,2020-01-01,2099-12-31,,46,Milestones,Lost to follow-up
2000000017,OTHER,Discontinuation for other reason,Observation,A4_LEARN,Clinical Observation,S,A4_DS_OTHER,2020-01-01,2099-12-31,,78,Milestones,Study discontinuation for other/unspecified reason
2000000018,WITHDRAWAL_GUARDIAN,Withdrawal by parent/guardian,Observation,A4_LEARN,Clinical Observation,S,A4_DS_GUARDIAN,2020-01-01,2099-12-31,,24,Milestones,Withdrawal by parent or guardian
2000000019,LACK_EFFICACY,Discontinuation due to lack of efficacy,Observation,A4_LEARN,Clinical Observation,S,A4_DS_EFFICACY,2020-01-01,2099-12-31,,10,Milestones,Discontinuation due to lack of efficacy
2000000020,SAFETY_RISK,Discontinuation due to safety risk,Observation,A4_LEARN,Clinical Observation,S,A4_DS_SAFETY,2020-01-01,2099-12-31,,8,Milestones,Discontinuation due to safety risk
2000000021,PHYSICIAN_DECISION,Discontinuation by physician decision,Observation,A4_LEARN,Clinical Observation,S,A4_DS_PHYSICIAN,2020-01-01,2099-12-31,,7,Milestones,Discontinuation by physician decision
2000000022,PROTOCOL_DEVIATION,Discontinuation due to protocol deviation,Observation,A4_LEARN,Clinical Observation,S,A4_DS_PROTOCOL,2020-01-01,2099-12-31,,1,Milestones,Discontinuation due to protocol deviation
2100000001,PACC,PACC Composite Score,Measurement,A4_LEARN,Clinical Test,S,A4_PACC_COMPOSITE,2020-01-01,2099-12-31,,21402,Cognitive,Preclinical Alzheimer Cognitive Composite (z-score)
2100000005,LDELTOTAL,Logical Memory Delayed Total,Measurement,A4_LEARN,Clinical Test,S,A4_LOGMEM_DELAYED,2020-01-01,2099-12-31,,26467,Cognitive,Wechsler Logical Memory Delayed Recall
2100000006,DIGITTOTAL,Digit Symbol Total,Measurement,A4_LEARN,Clinical Test,S,A4_DIGIT_SYMBOL,2020-01-01,2099-12-31,,26440,Cognitive,Digit Symbol Substitution Test Total
2100000010,TP42/TP40,Plasma Abeta 42/40 Ratio,Measurement,A4_LEARN,Lab Test,S,A4_ABETA_RATIO,2020-01-01,2099-12-31,,2960,AD Biomarker,Total plasma amyloid beta 42/40 ratio
2100000011,TP40,Total Plasma Abeta-40,Measurement,A4_LEARN,Lab Test,S,A4_ABETA40_TOTAL,2020-01-01,2099-12-31,,5412,AD Biomarker,Total plasma amyloid beta-40 (pg/mL)
2100000012,TP42,Total Plasma Abeta-42,Measurement,A4_LEARN,Lab Test,S,A4_ABETA42_TOTAL,2020-01-01,2099-12-31,,5313,AD Biomarker,Total plasma amyloid beta-42 (pg/mL)
2100000013,BP40,Bound Plasma Abeta-40,Measurement,A4_LEARN,Lab Test,S,A4_ABETA40_BOUND,2020-01-01,2099-12-31,,3068,AD Biomarker,Bound plasma amyloid beta-40 (pg/mL)
2100000014,BP42,Bound Plasma Abeta-42,Measurement,A4_LEARN,Lab Test,S,A4_ABETA42_BOUND,2020-01-01,2099-12-31,,2841,AD Biomarker,Bound plasma amyloid beta-42 (pg/mL)
2100000015,FP40,Free Plasma Abeta-40,Measurement,A4_LEARN,Lab Test,S,A4_ABETA40_FREE,2020-01-01,2099-12-31,,3103,AD Biomarker,Free plasma amyloid beta-40 (pg/mL)
2100000016,FP42,Free Plasma Abeta-42,Measurement,A4_LEARN,Lab Test,S,A4_ABETA42_FREE,2020-01-01,2099-12-31,,2903,AD Biomarker,Free plasma amyloid beta-42 (pg/mL)
2100000030,MRI_VOLUME,Brain Region Volume MRI,Measurement,A4_LEARN,Procedure,S,A4_MRI_VOLUME,2020-01-01,2099-12-31,,156403,Imaging,Volumetric MRI brain region volume (mL)
2100000031,SUVR_AMYLOID,Amyloid PET SUVR,Measurement,A4_LEARN,Procedure,S,A4_PET_AMYLOID,2020-01-01,2099-12-31,,45960,Imaging,Amyloid PET standardized uptake value ratio
2100000032,SUVR_TAU,Tau PET SUVR,Measurement,A4_LEARN,Procedure,S,A4_PET_TAU,2020-01-01,2099-12-31,,295296,Imaging,Tau PET standardized uptake value ratio
2100000040,DET,CogState Detection,Measurement,A4_LEARN,Clinical Test,S,A4_COGSTATE_DET,2020-01-01,2099-12-31,,22798,CogState,Psychomotor speed - simple reaction time (log10 ms)
2100000041,IDN,CogState Identification,Measurement,A4_LEARN,Clinical Test,S,A4_COGSTATE_IDN,2020-01-01,2099-12-31,,22771,CogState,Attention - choice reaction time (log10 ms)
