concept_id,concept_name,domain_id,vocabulary_id,concept_class_id,standard_concept,concept_code,valid_start_date,valid_end_date,invalid_reason
2000000010,Study randomization,Observation,A4_LEARN,Clinical Observation,S,A4_DS_RANDOMIZED,2020-01-01,2099-12-31,
2000000011,Study completion,Observation,A4_LEARN,Clinical Observation,S,A4_DS_COMPLETED,2020-01-01,2099-12-31,
2000000012,Screen failure,Observation,A4_LEARN,Clinical Observation,S,A4_DS_SCREEN_FAIL,2020-01-01,2099-12-31,
2000000013,Withdrawal by subject,Observation,A4_LEARN,Clinical Observation,S,A4_DS_WITHDRAWAL,2020-01-01,2099-12-31,
2000000014,Study termination by sponsor,Observation,A4_LEARN,Clinical Observation,S,A4_DS_SPONSOR_TERM,2020-01-01,2099-12-31,
2000000015,Discontinuation due to adverse event,Observation,A4_LEARN,Clinical Observation,S,A4_DS_AE,2020-01-01,2099-12-31,
2000000016,Lost to follow-up,Observation,A4_LEARN,Clinical Observation,S,A4_DS_LTFU,2020-01-01,2099-12-31,
2000000017,Discontinuation for other reason,Observation,A4_LEARN,Clinical Observation,S,A4_DS_OTHER,2020-01-01,2099-12-31,
2000000018,Withdrawal by parent/guardian,Observation,A4_LEARN,Clinical Observation,S,A4_DS_GUARDIAN,2020-01-01,2099-12-31,
2000000019,Discontinuation due to lack of efficacy,Observation,A4_LEARN,Clinical Observation,S,A4_DS_EFFICACY,2020-01-01,2099-12-31,
2000000020,Discontinuation due to safety risk,Observation,A4_LEARN,Clinical Observation,S,A4_DS_SAFETY,2020-01-01,2099-12-31,
2000000021,Discontinuation by physician decision,Observation,A4_LEARN,Clinical Observation,S,A4_DS_PHYSICIAN,2020-01-01,2099-12-31,
2000000022,Discontinuation due to protocol deviation,Observation,A4_LEARN,Clinical Observation,S,A4_DS_PROTOCOL,2020-01-01,2099-12-31,
2100000001,PACC Composite Score,Measurement,A4_LEARN,Clinical Test,S,A4_PACC_COMPOSITE,2020-01-01,2099-12-31,
2100000005,Logical Memory Delayed Total,Measurement,A4_LEARN,Clinical Test,S,A4_LOGMEM_DELAYED,2020-01-01,2099-12-31,
2100000006,Digit Symbol Total,Measurement,A4_LEARN,Clinical Test,S,A4_DIGIT_SYMBOL,2020-01-01,2099-12-31,
2100000010,Plasma Abeta 42/40 Ratio,Measurement,A4_LEARN,Lab Test,S,A4_ABETA_RATIO,2020-01-01,2099-12-31,
2100000011,Total Plasma Abeta-40,Measurement,A4_LEARN,Lab Test,S,A4_ABETA40_TOTAL,2020-01-01,2099-12-31,
2100000012,Total Plasma Abeta-42,Measurement,A4_LEARN,Lab Test,S,A4_ABETA42_TOTAL,2020-01-01,2099-12-31,
2100000013,Bound Plasma Abeta-40,Measurement,A4_LEARN,Lab Test,S,A4_ABETA40_BOUND,2020-01-01,2099-12-31,
2100000014,Bound Plasma Abeta-42,Measurement,A4_LEARN,Lab Test,S,A4_ABETA42_BOUND,2020-01-01,2099-12-31,
2100000015,Free Plasma Abeta-40,Measurement,A4_LEARN,Lab Test,S,A4_ABETA40_FREE,2020-01-01,2099-12-31,
2100000016,Free Plasma Abeta-42,Measurement,A4_LEARN,Lab Test,S,A4_ABETA42_FREE,2020-01-01,2099-12-31,
2100000030,Brain Region Volume MRI,Measurement,A4_LEARN,Procedure,S,A4_MRI_VOLUME,2020-01-01,2099-12-31,
2100000031,Amyloid PET SUVR,Measurement,A4_LEARN,Procedure,S,A4_PET_AMYLOID,2020-01-01,2099-12-31,
2100000032,Tau PET SUVR,Measurement,A4_LEARN,Procedure,S,A4_PET_TAU,2020-01-01,2099-12-31,
2100000040,CogState Detection,Measurement,A4_LEARN,Clinical Test,S,A4_COGSTATE_DET,2020-01-01,2099-12-31,
2100000041,CogState Identification,Measurement,A4_LEARN,Clinical Test,S,A4_COGSTATE_IDN,2020-01-01,2099-12-31,
2100000042,CogState One-Back,Measurement,A4_LEARN,Clinical Test,S,A4_COGSTATE_ONB,2020-01-01,2099-12-31,
2100000043,CogState One-Card Learning,Measurement,A4_LEARN,Clinical Test,S,A4_COGSTATE_OCL,2020-01-01,2099-12-31,
2100000047,CogState Face-Name Memory Test,Measurement,A4_LEARN,Clinical Test,S,A4_COGSTATE_FNMT,2020-01-01,2099-12-31,
2100000048,CogState Face-Name Learning Test,Measurement,A4_LEARN,Clinical Test,S,A4_COGSTATE_FNLT,2020-01-01,2099-12-31,
2100000049,CogState Face-Symbol Binding Test,Measurement,A4_LEARN,Clinical Test,S,A4_COGSTATE_FSBT,2020-01-01,2099-12-31,
2100000050,CFI Patient Total Score,Measurement,A4_LEARN,Clinical Test,S,A4_CFI_PATIENT,2020-01-01,2099-12-31,
2100000051,CFI Study Partner Total Score,Measurement,A4_LEARN,Clinical Test,S,A4_CFI_PARTNER,2020-01-01,2099-12-31,
2100000052,Digit Symbol Total,Measurement,A4_LEARN,Clinical Test,S,A4_DIGIT_TOTAL,2020-01-01,2099-12-31,
2100000054,Logical Memory Immediate Total,Measurement,A4_LEARN,Clinical Test,S,A4_LOGMEM_IMM,2020-01-01,2099-12-31,
2100000055,Logical Memory Delayed Total,Measurement,A4_LEARN,Clinical Test,S,A4_LOGMEM_DEL,2020-01-01,2099-12-31,
2100000056,FCSR-16 Free Recall Total,Measurement,A4_LEARN,Clinical Test,S,A4_FCSR_FREE,2020-01-01,2099-12-31,
2100000057,FCSR-16 Cued Recall Total,Measurement,A4_LEARN,Clinical Test,S,A4_FCSR_CUED,2020-01-01,2099-12-31,
2100000060,STAI Total Score,Measurement,A4_LEARN,Clinical Test,S,A4_STAI_TOTAL,2020-01-01,2099-12-31,
2100000062,AD Concern Development,Measurement,A4_LEARN,Clinical Test,S,A4_CONCERN_DVLP,2020-01-01,2099-12-31,
2100000063,AD Concern Knowledge,Measurement,A4_LEARN,Clinical Test,S,A4_CONCERN_KNOW,2020-01-01,2099-12-31,
2100000064,AD Concern Belief,Measurement,A4_LEARN,Clinical Test,S,A4_CONCERN_BLIEV,2020-01-01,2099-12-31,
2100000065,AD Concern Worst,Measurement,A4_LEARN,Clinical Test,S,A4_CONCERN_WRST,2020-01-01,2099-12-31,
2100000066,AD Concern Overall,Measurement,A4_LEARN,Clinical Test,S,A4_CONCERN_OVRL,2020-01-01,2099-12-31,
